Base,Unit,Section,Subsection,Shelf,Item,Type,Required Qty,Subitems
93,93 Rescue 2,Cab,,,Mileage,NUMBER,,
93,93 Rescue 2,Cab,,,Fuel Card,ONTRUCK,,
93,93 Rescue 2,Cab,,,Fuel,FUEL,,
93,93 Rescue 2,Cab,,,Emergency Lighting,FUNCTIONAL,,
93,93 Rescue 2,Cab,,,Siren,FUNCTIONAL,,
93,93 Rescue 2,Cab,,,Tires,FUNCTIONAL,,
93,93 Rescue 2,Cab,,,Washed Inside/Outside,TEXT,,
93,93 Rescue 2,Cab,,,Door Remote,PASSFAIL,,
93,93 Rescue 2,Cab,,,2-Traffic Vests,ONTRUCK,,
93,93 Rescue 2,Cab,,,Hand Sanitizer,ONTRUCK,,
93,93 Rescue 2,Cab,,,"Clipboard,Pens,Refusal Forms",ONTRUCK,,
93,93 Rescue 2,Cab,,,Box Light,PASSFAIL,,
93,93 Rescue 2,Cab,,,Flashlight,PASSFAIL,,
93,93 Rescue 2,Cab,,,Disinfectant,ONTRUCK,,
93,93 Rescue 2,Cab,,,DOT Guide Book,ONTRUCK,,
93,93 Rescue 2,Cab,,,i-Pad,PASSFAIL,,
93,93 Rescue 2,Cab,,,Binoculars,ONTRUCK,,
93,93 Rescue 2,Cab,,,Map Book,ONTRUCK,,
93,93 Rescue 2,Cab,,,Small Gloves,ONTRUCK,,
93,93 Rescue 2,Cab,,,Medium Gloves,ONTRUCK,,
93,93 Rescue 2,Cab,,,Large Gloves,ONTRUCK,,
93,93 Rescue 2,Cab,,,XL Gloves,ONTRUCK,,
93,93 Rescue 2,Compartment #1,,Top Shelf,Pedi-Immobilizer,ONTRUCK,,
93,93 Rescue 2,Compartment #1,,Top Shelf,Traction Splint,ONTRUCK,,
93,93 Rescue 2,Compartment #1,,Top Shelf,Frac - Pak,ONTRUCK,,
93,93 Rescue 2,Compartment #1,,Top Shelf,Spinal Bag (Red Bag),ONTRUCK,,
93,93 Rescue 2,Compartment #1,,Top Shelf,4 - Spray Cans,ONTRUCK,,
93,93 Rescue 2,Compartment #1,,Middle Shelf,Chainsaw,PASSFAIL,,
93,93 Rescue 2,Compartment #1,,Middle Shelf,Chainsaw Battery (0-100%),NUMBER,,
93,93 Rescue 2,Compartment #1,,Middle Shelf,Blower,PASSFAIL,,
93,93 Rescue 2,Compartment #1,,Middle Shelf,Blower Battery (0-100%),NUMBER,,
93,93 Rescue 2,Compartment #1,,Middle Shelf,Haligan Tool,ONTRUCK,,
93,93 Rescue 2,Compartment #1,,Bottom Shelf,7-Traffic Cones,ONTRUCK,,
93,93 Rescue 2,Compartment #1,,Bottom Shelf,2-Rolls Scene Tape,ONTRUCK,,
93,93 Rescue 2,Compartment #1,,Bottom Shelf,Box Light,PASSFAIL,,
93,93 Rescue 2,Compartment #1,,Bottom Shelf,2-Wheel Chocks,ONTRUCK,,
93,93 Rescue 2,Compartment #1,,Bottom Shelf,Large Gloves,ONTRUCK,,
93,93 Rescue 2,Compartment #1,,Bottom Shelf,Spare 02 Tank,ONTRUCK,,
93,93 Rescue 2,Compartment #2,,Top Shelf,Assorted Hand Tools,ONTRUCK,,
93,93 Rescue 2,Compartment #2,,Sliding Shelf,Medical Bag,ONTRUCK,,
93,93 Rescue 2,Compartment #2,,Sliding Shelf,AED,PASSFAIL,,
